# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster344     COVAR   16076      -7.2484    -0.015087       3.7109       0.9746
Cluster345     COVAR   16076      -4.6422    -0.013057       2.6378      0.96077
Cluster346     COVAR   16076      -2.5561   -0.0074468       2.4339      0.85318
Cluster347     COVAR   16076      -5.1391    -0.010301       3.6493      0.92046
Cluster348     COVAR   16076     -0.98305   -0.0026955       2.8765      0.63373
Cluster349     COVAR   16076      0.83782    0.0017066        3.783      0.41236
Cluster35      COVAR   16076        4.527      0.01106        2.851      0.05617
Cluster350     COVAR   16076      -1.3131    -0.002214       4.3086      0.61972
Cluster351     COVAR   16076       6.1904     0.010996       3.9018      0.05632
Cluster352     COVAR   16076       3.6236    0.0060485       4.2246      0.19553
Cluster353     COVAR   16076       4.0074    0.0069808       4.0139      0.15906
Cluster354     COVAR   16076       8.3676     0.011312       5.1804      0.05314
Cluster355     COVAR   16076       4.8049    0.0058279       5.8355      0.20515
Cluster356     COVAR   16076       9.8175     0.012849       5.3977     0.034481
Cluster357     COVAR   16076         3.69    0.0062115       4.2185      0.19087
Cluster358     COVAR   16076       2.6253    0.0035734       5.2005      0.30685
Cluster359     COVAR   16076       3.7847    0.0062354       4.2141      0.18458
Cluster36      COVAR   16076       2.3924    0.0060555        2.711      0.18876
Cluster360     COVAR   16076      -3.4882   -0.0058469       4.2791      0.79251
Cluster361     COVAR   16076    0.0051874   9.1386e-06       3.9122      0.49947
Cluster362     COVAR   16076       4.0917    0.0063531       4.4598      0.17946
Cluster363     COVAR   16076       1.5693    0.0032835       3.1679      0.31017
Cluster364     COVAR   16076       1.6603     0.002795       3.9577      0.33742
Cluster365     COVAR   16076       -3.415    -0.004695       5.0879      0.74895
Cluster366     COVAR   16076      0.89927    0.0015655        4.029      0.41169
Cluster367     COVAR   16076      -3.5023   -0.0043742       5.6177       0.7335
Cluster368     COVAR   16076      0.31457   0.00064085       3.1834      0.46064
Cluster369     COVAR   16076       3.6337     0.004959       5.1249      0.23916
Cluster37      COVAR   16076       1.3278     0.004213       2.0921      0.26282
Cluster370     COVAR   16076      -6.6259   -0.0092375       5.1575      0.90054
Cluster371     COVAR   16076      -3.3324   -0.0065077       3.5481      0.82618
Cluster372     COVAR   16076       5.0784    0.0083081       4.3106      0.11938
Cluster373     COVAR   16076      0.68661    0.0011276       4.2881      0.43639
Cluster374     COVAR   16076       -2.613   -0.0044997       4.0762      0.73925
Cluster375     COVAR   16076      -1.0092   -0.0018477       3.7585      0.60585
Cluster376     COVAR   16076       4.7108    0.0071422        4.628      0.15437
Cluster377     COVAR   16076      -3.3442   -0.0055089       4.1706      0.78867
Cluster378     COVAR   16076       3.5746    0.0060869       4.1814      0.19631
Cluster379     COVAR   16076       2.7166    0.0050964       3.5906      0.22466
Cluster38      COVAR   16076       -2.252   -0.0076348       1.9923      0.87082
Cluster380     COVAR   16076       4.1583    0.0071626       4.1318      0.15711
Cluster381     COVAR   16076      -2.3461   -0.0043136       3.7066      0.73661
Cluster382     COVAR   16076     0.062286   0.00011046       4.0043      0.49379
Cluster383     COVAR   16076      -1.2272   -0.0022773       3.6617      0.63124
Cluster384     COVAR   16076      -1.4196   -0.0021128       4.8448      0.61524
Cluster385     COVAR   16076        2.609    0.0035659       5.2338      0.30907
Cluster386     COVAR   16076        2.655    0.0049255       3.7565      0.23986
Cluster387     COVAR   16076      -1.9027   -0.0035958       3.4185      0.71109
Cluster388     COVAR   16076       1.7848    0.0034849       3.5874      0.30941
Cluster389     COVAR   16076       4.4745    0.0066694       4.7898      0.17512
Cluster39      COVAR   16076      -1.1317   -0.0051631       1.4458       0.7831
Cluster390     COVAR   16076      0.78213    0.0010548       5.2037      0.44026
Cluster391     COVAR   16076       2.5762    0.0045261       3.9176      0.25541
Cluster392     COVAR   16076      0.87514    0.0012874       4.8091       0.4278
Cluster393     COVAR   16076        5.064    0.0069019       5.1894      0.16458
Cluster394     COVAR   16076       1.5933    0.0028741       3.8341      0.33887
Cluster395     COVAR   16076      0.38601   0.00095273       2.8824      0.44673
Cluster396     COVAR   16076       1.2905    0.0022574        3.907      0.37059
Cluster397     COVAR   16076      -3.8394   -0.0085639       3.1641      0.88751
Cluster398     COVAR   16076      0.57742    0.0013831       2.9056      0.42124
Cluster399     COVAR   16076    -0.012644  -4.1495e-05       2.2009      0.50229
Cluster4       COVAR   16076     -0.96104   -0.0085173      0.75335      0.89896
